cluster_id,x_m_0,x_m_1,b_new_0,b_new_1
0,0.686836,0.620673,-0.0442349,0.0574138
1,0.368385,0.399101,-0.00420366,0.395137
2,0.134633,0.190699,0.00152971,0.191761
3,0.342192,0.418535,-0.0794861,0.1079
4,0.692672,0.604436,-0.0287721,0.567884
6,0.400756,0.384502,0.0312352,-0.0279819
7,0.909172,0.800309,-0.0142622,0.7835
8,0.770476,0.815673,-0.0780695,0.0914742
5,0.44278,0.497946,1,-0.610364,-0.792121
9,0.0857896,0.0983386,1,-0.593107,-0.805124
10,0.23755,0.295911,1,0.857992,0.513663
11,0.556468,0.606138,1,-0.695818,-0.718218
