x,y,z,cluster
1.1644,-4.7874,-2.24136,1
0.547982,-4.24322,-3.01841,1
0.449238,-4.63663,-3.44269,1
-0.780569,-4.52248,-1.84685,1
0.011406,-5.34338,-1.81535,1
-0.337948,-4.53269,-2.66335,1
-0.657224,-5.31067,-2.04392,1
-0.638209,-4.12633,-2.98762,1
-0.585296,-4.20285,-3.11098,1
1.12267,-4.80195,-2.40311,1
0.863378,-5.04979,-1.8859,1
0.493251,-5.11908,-1.66903,1
-1.14535,-4.29279,-2.20351,1
0.00717365,-5.18841,-1.39524,1
0.391812,-4.45306,-2.77863,1
0.721609,-4.39306,-2.73838,1
1.50959,-4.85381,-1.96545,1
-0.886288,-4.65083,-1.63327,1
-0.381101,-5.10971,-1.60103,1
0.342799,-4.79683,-2.08206,1
-0.525529,-4.80067,-1.93878,1
0.228296,-4.59446,-2.80255,1
0.777481,-4.97683,-3.05882,1
1.03966,-5.10449,-1.94768,1
-0.380485,-4.61137,-2.96134,1
0.970909,-4.7087,-2.25761,1
-0.335552,-4.41899,-2.04905,1
-0.344806,-4.26988,-3.52751,1
0.00252852,-4.02125,-3.3005,1
-1.09137,-4.47628,-2.50358,1
-0.232667,-4.98867,-2.19218,1
0.821938,-4.63192,-2.76762,1
0.211648,-4.25664,-3.36596,1
0.45798,-4.87771,-1.65714,1
-0.368048,-4.46301,-2.65739,1
0.238136,-5.10639,-1.86248,1
0.353725,-4.40365,-3.00922,1
0.754796,-4.83732,-2.28118,1
-0.780613,-4.44187,-2.9622,1
-0.755962,-4.57213,-2.50705,1
-0.663074,-4.97346,-2.77581,1
0.790647,-4.33846,-2.34703,1
0.26336,-4.18681,-3.08289,1
0.155225,-4.65491,-2.56367,1
0.416537,-4.77089,-1.60659,1
0.0127248,-4.2864,-3.39427,1
0.369808,-4.9502,-2.02815,1
-0.842204,-4.68188,-2.55546,1
-0.339944,-4.90496,-1.40329,1
0.711884,-4.75001,-1.91429,1
-0.736509,-4.50865,-2.56911,1
-0.683512,-4.64537,-2.28174,1
-0.255013,-4.99921,-2.01452,1
-0.225612,-5.06806,-2.44913,1
-0.16551,-5.30265,-1.40511,1
0.894726,-4.65013,-2.25578,1
0.397832,-4.14531,-2.71912,1
0.0188243,-4.7723,-2.75162,1
1.13467,-5.11408,-2.19234,1
0.358206,-4.88746,-1.40752,1
1.13938,-4.6668,-2.47266,1
-0.496774,-5.04135,-1.8586,1
-0.723639,-4.46496,-3.07646,1
0.552979,-4.70685,-1.83045,1
0.149344,-4.96561,-2.47506,1
0.599805,-4.23245,-2.87609,1
0.274098,-4.1504,-3.62295,1
0.642017,-4.34251,-2.88129,1
-0.589865,-4.99734,-1.49443,1
-0.244932,-4.83305,-2.14285,1
0.156115,-4.36364,-2.77641,1
-0.616131,-4.62256,-2.5711,1
-1.14776,-4.49694,-2.87685,1
-1.12661,-4.40888,-3.03016,1
0.321449,-4.53093,-2.19636,1
-1.029,-5.05824,-2.27414,1
0.259278,-4.07717,-2.91444,1
-0.0607774,-4.84012,-2.47015,1
-0.201061,-5.43908,-1.04387,1
0.360374,-4.29007,-2.83319,1
-0.402026,-4.4379,-3.16596,1
-0.193995,-4.77321,-2.51596,1
-0.579832,-4.7777,-2.75289,1
-0.64721,-4.75267,-2.85305,1
1.13584,-4.38255,-2.29896,1
0.526983,-4.71835,-1.79293,1
-0.932953,-4.31024,-2.88978,1
0.182202,-4.3729,-2.58416,1
0.0195674,-4.80768,-1.73358,1
0.61566,-4.68675,-2.34408,1
0.102083,-4.69552,-2.50897,1
0.21235,-4.4124,-2.55647,1
0.682391,-4.61603,-2.87488,1
0.243137,-3.85162,-3.2818,1
0.11831,-4.66068,-2.79008,1
-0.0295959,-4.53407,-2.866,1
1.13934,-4.58092,-1.96155,1
-0.629161,-5.2134,-1.28703,1
-0.960395,-4.70461,-1.94509,1
-0.0294008,-4.56518,-2.29073,1
-0.328148,-4.68389,-2.68385,1
-0.778814,-4.45938,-2.09741,1
-0.93599,-4.48517,-2.47425,1
0.669577,-4.9705,-1.48937,1
1.0764,-4.55541,-2.72445,1
0.706219,-4.47503,-2.52189,1
-0.478632,-4.7064,-2.20252,1
1.37383,-4.56063,-3.03489,1
-0.186358,-4.39237,-3.04833,1
0.765983,-5.07395,-1.51643,1
1.25488,-4.88252,-2.25614,1
-0.233991,-4.54879,-2.44573,1
0.587225,-4.15886,-3.07141,1
0.564092,-4.64662,-2.42984,1
1.09439,-4.94055,-2.11143,1
-0.996409,-4.72801,-2.43232,1
0.272136,-4.45992,-2.5032,1
-0.836287,-4.44989,-2.20401,1
0.837124,-4.42168,-2.65436,1
-0.144484,-4.6,-3.16127,1
-0.776916,-4.43019,-2.94791,1
-0.879998,-4.70427,-2.06329,1
0.553152,-4.55441,-3.13252,1
1.37732,-4.84713,-2.14569,1
0.35004,-4.90458,-2.37356,1
0.644652,-4.94796,-2.21537,1
0.12556,-4.55947,-2.2219,1
-0.779263,-4.68061,-1.97716,1
0.167452,-4.18597,-3.32592,1
0.199296,-4.7694,-1.91882,1
0.196523,-4.56614,-2.70359,1
0.629966,-4.36029,-3.01532,1
-1.02084,-4.34647,-2.50286,1
-0.308549,-4.46667,-2.86634,1
-0.560072,-5.40274,-1.97206,1
0.0115602,-4.80396,-2.7459,1
-0.554758,-4.9804,-2.23505,1
-0.580612,-4.98938,-1.63091,1
-0.250424,-5.03289,-1.57072,1
1.06241,-4.1436,-2.5024,1
0.41033,-5.36327,-1.80656,1
-0.823472,-4.84269,-1.87243,1
-0.478771,-4.73703,-2.57191,1
1.05593,-4.93186,-1.9896,1
0.986828,-4.51987,-1.98998,1
0.26946,-4.94702,-2.06689,1
-0.260082,-4.91939,-2.0872,1
-0.655064,-4.5243,-2.04859,1
0.582823,-4.90431,-2.01835,1
0.313934,-4.59593,-2.74646,1
-0.706566,-4.20602,-2.08461,1
-1.18384,-4.62594,-2.3444,1
-0.151588,-4.26649,-2.90088,1
-0.31734,-5.09309,-1.4258,1
-0.167236,-5.2713,-1.86528,1
-0.086058,-4.97425,-1.02605,1
0.271789,-4.92005,-2.20201,1
-0.566049,-4.00279,-2.93651,1
-0.357941,-4.73999,-2.04896,1
-0.49692,-4.60197,-2.53355,1
1.22606,-4.75274,-2.30081,1
0.0726941,-4.81925,-2.32204,1
1.00151,-4.69825,-2.74472,1
-0.746442,-4.57055,-2.1456,1
-0.194732,-4.88857,-1.29129,1
0.936389,-4.54628,-2.26757,1
0.504097,-4.56553,-2.68182,1
-0.446298,-5.22125,-1.59153,1
0.342237,-5.11497,-1.84261,1
0.565671,-4.49596,-2.57268,1
-0.356019,-5.21845,-2.50904,1
-0.732822,-4.31766,-3.22168,1
-0.38849,-5.24557,-1.76556,1
-1.68453,-4.59502,-2.59272,1
0.374911,-4.9477,-1.44892,1
0.324637,-3.86423,-3.0914,1
0.169552,-4.61853,-3.59444,1
-0.47011,-4.67661,-2.12764,1
-0.0102059,-4.27399,-3.24528,1
-0.0713099,-4.83867,-2.28569,1
-0.601134,-4.38288,-2.73334,1
-0.448387,-4.41688,-3.17172,1
-1.07164,-4.52282,-2.63185,1
0.128099,-4.32828,-3.35439,1
0.289708,-4.34445,-2.39014,1
0.813529,-5.0757,-2.22167,1
0.450235,-4.973,-1.90551,1
0.690191,-4.23394,-2.65476,1
0.815295,-4.6398,-2.15563,1
-0.15482,-4.40855,-3.10455,1
-0.416589,-5.04352,-1.66634,1
0.975101,-4.46485,-3.04674,1
-0.198254,-4.70951,-2.02254,1
0.0550778,-4.74839,-1.63073,1
0.93077,-4.99227,-1.96876,1
-0.53321,-4.52182,-2.54531,1
0.358166,-4.85191,-2.65286,1
1.3185,-4.32191,-2.4808,1
-0.267005,-4.36314,-3.24366,1
0.718999,-4.96513,-2.38787,1
-0.876347,-0.0736047,-3.37154,2
-0.958388,0.49219,-3.38275,2
0.0806435,-1.47744,-3.02368,2
0.761562,0.55316,-3.441,2
-0.154655,0.124152,-3.40707,2
-0.573543,-0.115988,-3.41164,2
0.0772384,0.286022,-3.07746,2
0.100858,0.0549807,-3.59323,2
-1.07364,-0.0963677,-3.50653,2
-1.14834,0.0611127,-3.44292,2
-0.243207,-1.06917,-3.34078,2
0.208004,-0.571824,-3.46373,2
-0.502276,0.459022,-3.48492,2
0.904222,-0.204006,-3.69421,2
-0.62585,0.22689,-3.95022,2
-0.751521,0.276681,-3.43737,2
-0.651006,-0.41663,-3.38201,2
-1.44321,-0.192225,-3.5477,2
0.155658,-1.0386,-3.36743,2
1.49204,-0.698602,-3.44531,2
-0.74178,-0.171262,-3.28697,2
0.376908,-1.01665,-3.53928,2
-0.804064,-0.0698637,-3.34281,2
