x0,x1,x2,flat number
1.56858,-3.61033,-1.81483,0
0.511495,-4.00455,-1.62926,0
0.210603,-4.12747,-0.882339,0
-0.682485,-4.8155,-0.989744,0
1.1255,-4.50655,-2.51088,0
0.3212,-4.15837,-1.15624,0
1.52562,-3.83334,-2.33391,0
0.507904,-4.27387,-1.86795,0
0.770022,-4.31314,-1.06328,0
0.121124,-4.21533,-0.521129,0
-0.277897,-4.40201,-0.420458,0
0.86483,-3.86106,-1.12752,0
1.24666,-3.89813,-1.39168,0
0.270395,-4.75431,-1.69854,0
0.329911,-4.7535,-0.715647,0
-0.00102186,-4.3925,-1.25281,0
0.218052,-4.46869,-1.43812,0
1.16117,-3.78647,-2.13355,0
0.797826,-4.4711,-1.54537,0
1.1094,-4.377,-1.65028,0
0.416047,-4.07131,-1.16448,0
0.234123,-3.86048,-1.83518,0
-0.322793,-4.23341,-0.733452,0
-0.202182,-4.78207,-0.709378,0
-0.183302,-4.72001,-0.673985,0
-0.357449,-4.05962,-1.26669,0
-0.0477633,-4.52199,-0.465344,0
0.232987,-4.78495,-1.3064,0
1.10474,-4.29352,-1.91203,0
1.10401,-4.0132,-1.51169,0
-0.395208,-4.06492,-1.27687,0
-0.959116,-5.17288,-0.953766,0
0.116865,-4.80753,-1.10528,0
0.747718,-4.56707,-0.867916,0
0.663238,-3.73234,-0.74464,0
0.618736,-4.3122,-1.61313,0
1.00176,-4.41167,-1.20544,0
-0.529785,-4.55045,-1.51233,0
0.105498,-3.74714,-1.32604,0
0.259675,-4.89602,-0.650325,0
0.110394,-4.36038,-1.70533,0
0.982731,-3.51625,-1.88895,0
-0.162624,-4.33939,-1.2555,0
0.557957,-4.23918,-1.53654,0
0.375391,-4.25253,-0.734977,0
1.52032,-3.85974,-1.78621,0
-0.314084,-3.98911,-1.4006,0
0.517044,-4.46139,-0.676968,0
0.754741,-4.69932,-1.29426,0
0.245834,-4.94342,-1.49571,0
-0.0661758,-4.57239,-1.4519,0
0.917853,-4.21231,-1.2667,0
0.76361,-4.74614,-1.5228,0
0.222992,-4.63154,-1.27332,0
-0.688489,-4.5872,-1.45358,0
0.583908,-3.65451,-1.08477,0
1.1194,-4.32714,-1.13819,0
0.891468,-3.21565,-1.25162,0
-0.0213683,-4.74016,-0.916133,0
1.02952,-3.72562,-1.84738,0
0.512398,-4.24437,-1.2531,0
0.878,-3.76737,-1.59185,0
0.189883,-4.43178,-1.46748,0
0.84349,-3.79403,-1.68723,0
-0.282402,-4.21923,-1.19669,0
0.838273,-4.54277,-1.30455,0
0.704197,-4.30879,-1.4323,0
0.324338,-4.74424,-1.05498,0
0.856739,-3.85936,-1.50146,0
-0.126878,-4.64918,-0.701954,0
0.977172,-4.00589,-1.50844,0
0.398378,-4.00752,-1.39281,0
-0.312433,-4.3714,-0.754008,0
0.512677,-4.0322,-1.58887,0
-0.194763,-4.57349,-0.801094,0
0.873496,-4.02844,-1.18629,0
1.73701,-4.42229,-1.73248,0
0.806306,-4.2861,-2.03341,0
0.129776,-4.16531,-0.885482,0
-0.0122646,-4.18998,-1.21377,0
0.398793,-4.52137,-1.46394,0
0.858137,-4.12272,-1.24207,0
1.03116,-3.53755,-2.57488,0
0.403196,-4.34902,-1.90523,0
0.464013,-4.74192,-1.65613,0
0.357631,-3.23347,-1.34031,0
0.200613,-4.10042,-1.47083,0
1.68844,-3.20236,-1.30409,0
0.295109,-4.38051,-1.42662,0
0.360115,-4.78026,-0.725768,0
-0.545626,-3.65087,-0.650902,0
1.50018,-4.0745,-2.61982,0
0.988976,-3.96091,-1.44357,0
0.741455,-4.71899,-0.913905,0
1.40834,-4.0525,-2.23313,0
0.291994,-4.02149,-1.6038,0
1.65451,-4.39138,-1.07317,0
0.692902,-3.73083,-2.10298,0
0.336031,-3.70699,-1.88255,0
0.955007,-4.30231,-1.26271,0
0.0982628,-4.34121,-1.40116,0
0.00997555,-4.82922,-1.42306,0
0.590311,-4.22519,-1.61786,0
1.70359,-3.38558,-2.07638,0
1.21709,-3.8049,-1.5229,0
-0.446704,-3.78434,-1.24913,0
0.345656,-4.23853,-1.54787,0
0.550129,-4.54195,-1.0281,0
0.234889,-3.87231,-1.37002,0
-1.00577,-4.41914,-1.02262,0
0.439829,-5.16345,-1.13643,0
-0.446497,-4.49815,-0.956402,0
0.295065,-4.89545,-1.05644,0
0.473414,-4.36296,-1.86315,0
0.294773,-4.68093,-1.2912,0
1.03035,-4.0143,-1.28564,0
0.362659,-5.01033,-1.04734,0
1.14246,-3.7549,-1.83729,0
0.845158,-4.48557,-0.717526,0
