cluster,A00,A01,A02,A10,A11,A12,A20,A21,A22,b0,b1,b2,c
0,0.502187,-0.467997,-0.175995,-0.467997,0.560033,-0.165453,-0.175995,-0.165453,0.93778,3.54822,-0.320216,-9.1849,24.2637
1,0.108521,0.288652,-0.115861,0.288652,0.906537,0.0375148,-0.115861,0.0375148,0.984942,-0.0459202,0.412272,1.38044,0.519425
2,0.814095,-0.386318,-0.0458546,-0.386318,0.197215,-0.0952877,-0.0458546,-0.0952877,0.98869,-4.19618,1.81838,1.69272,5.94493
3,0.950073,0.113908,-0.185633,0.113908,0.740122,0.423517,-0.185633,0.423517,0.309805,-3.05282,-10.6504,-5.71422,38.8509
0,0.594504,0.49031,-0.0257957,0.49031,0.407137,0.0311911,-0.0257957,0.0311911,0.998359,2.78813,2.48638,3.43154,6.4328
4,0.910369,0.126771,-0.255981,0.126771,0.820699,0.362052,-0.255981,0.362052,0.268932,-1.29059,-11.2228,-5.10605,38.4221
5,0.00270392,0.0354612,-0.0379356,0.0354612,0.998739,0.00134889,-0.0379356,0.00134889,0.998557,-0.0839715,-0.980165,1.29131,0.658814
6,0.937814,0.0421728,0.237783,0.0421728,0.9714,-0.161257,0.237783,-0.161257,0.0907866,-8.21406,-5.753,-1.12785,25.46
0,0.843473,0.172579,0.319754,0.172579,0.809724,-0.352545,0.319754,-0.352545,0.346803,2.575,6.19831,-2.08484,12.3491
3,0.420661,0.42396,0.25291,0.42396,0.689747,-0.18508,0.25291,-0.18508,0.889592,-6.72332,-8.12778,-1.77623,28.6047
7,0.879647,0.184017,0.268339,0.184017,0.718643,-0.410284,0.268339,-0.410284,0.40171,-7.32344,-6.87963,1.43315,25.754
2,0.849197,0.202694,0.294918,0.202694,0.72756,-0.396398,0.294918,-0.396398,0.423243,1.76307,5.7645,-3.06035,11.4259
0,0.988992,0.0550092,-0.08866,0.0550092,0.725102,0.443061,-0.08866,0.443061,0.285906,7.04905,-0.738105,-1.33315,13.0028
8,0.999293,0.0265137,0.00183034,0.0265137,0.00544653,-0.0686578,0.00183034,-0.0686578,0.99526,1.09231,-0.0370745,0.958867,0.528483
0,0.504066,-0.466501,-0.17989,-0.466501,0.561185,-0.169214,-0.17989,-0.169214,0.934748,4.29821,-0.820489,-9.72187,28.4156
1,0.998046,-0.0416232,-0.0147417,-0.0416232,0.113191,-0.31408,-0.0147417,-0.31408,0.888762,-1.10689,-0.240428,0.825539,0.491129
9,0.870374,0.127259,0.310851,0.127259,0.875065,-0.305174,0.310851,-0.305174,0.25456,-8.89979,-5.1473,-1.604,27.0685
3,0.978645,-0.050982,0.135277,-0.050982,0.878288,0.322953,0.135277,0.322953,0.143067,-3.29419,-11.6259,-4.90147,42.5091
4,0.948808,-0.200015,-0.0925486,-0.200015,0.218509,-0.361603,-0.0925486,-0.361603,0.832683,1.75522,-0.327087,-0.263974,0.814365
10,0.0383391,0.171001,-0.0873382,0.171001,0.969593,0.0155303,-0.0873382,0.0155303,0.992068,-0.185172,0.277534,2.58227,1.69486
0,0.728427,-0.070299,-0.43918,-0.070299,0.981803,-0.113685,-0.43918,-0.113685,0.289771,3.6743,-3.8909,-1.64925,7.8399
0,0.364373,-0.441425,-0.191701,-0.441425,0.693443,-0.133131,-0.191701,-0.133131,0.942184,2.9733,-0.583773,-8.51438,20.419
